id	sector	region	north	centre	south_isl	rel_weight	age	group	individual_first_shr	foreign_first_shr	decentr_manag	employees	RD_empl_share	grad_empl_share	labour_flex	age_ceo	female_ceo	fam_ceo	prod_inn	proc_inn	patent	RD_inv	direct_export	dir_export_share	dir_export_eu	dir_export_outside_eu	import_goods	import_share_goods	import_goods_china_india	deloc_fdi	deloc_fdi_share	deloc_fdi_china_india	qual_cert	competitors_from_abroad	widened_prod_range	increase_margins	external_financing	local_bank	national_bank	foreign_bank	banks_number	credit_requested	credit_denied	totalassets	sales	addedvalue	ebit	roa	roi	ros	roe	leverage	tfp_va	dimensione	areageo	sector2
8006	27	3	1	0	0	1.051953	37	0	1	0	0	11	0	0	1	7	0	1	0	0	0	0	1	8	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	896	1153	485	68	.078125	.0758929	.0589766	.1455301	1.862786	-.3307956	0	0	5
8003	25	3	1	0	0	1.113938	36	0	1	0	0	32	0	0	1	3	1	1	1	0	0	0	1	80	1	1	0	0	0	0	0	0	0	1	1	0	1	1	1	0	8	0	0	8055	7122	752	-191	-.0562384	-.023712	-.0268183	-.400885	7.128319	-1.086813	1	0	4
8314	26	3	1	0	0	1.051953	28	0	1	0	0	30	0	0	1	4	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0	2	0	0	5407	3836		17	.0188644	.0031441	.0044317	.0233891	1.239853		1	0	5
7253	25	3	1	0	0	1.113938	9	0	1	0	0	27	0	0	1	4	0	1	1	1	0	1	1	30	1	0	0	0	0	0	0	0	0	1	1	0	1	1	1	0	3	1	1	3771	2983	911	162	.0084858	.0429594	.0543077	.160804	18.94975	-.3746421	1	0	4
8349	25	3	1	0	0	1.113938	46	0	1	0	0	46	0	0	1	5	0	1	1	1	0	1	1	60	0	1	1	10	1	0	0	0	1	1	1	0	1	0	1	0	6	0	0	35536	45495	16664	6806	.1905954	.1915241	.1495989	.4679425	2.455161	1.546057	1	0	4
7178	25	3	1	0	0	1.113938	32	0	1	0	1	26	0	0	1	5	0	0	0	0	0	0	1	2	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	2	0	0	4624	3386		387	.0936419	.0836938	.1142941	.117727	1.257205	.1092138	1	0	4
8137	27	3	1	0	0	1.051953	98	0	1	0	0	18	0	0	1	5	0	1	1	0	0	0	1	30	1	1	1	2	0	0	0	0	1	1	1	0	1	1	1	0	7	0	0	2478	2535	720	0	-.027845	0	0	-.0951724	3.417931	-.2942334	1	0	5
9692	31	3	1	0	0	1.04403	14	0	1	0	0	15	0	0	0	5	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	0	0	3	0	0	1906	1444	650	102	.0372508	.0535152	.0706371	.1012839	2.718973	-.493087	0	0	8
8962	15	3	1	0	0	1.051953	38	0	1	0	1	23	0	0	1	3	0	1	1	1	0	1	1	45	1	1	1	20	0	0	0	0	1	0	1	0	1	0	1	0	5	0	0	5761	6053	919	102	-.0270786	.0177053	.0168511	-.1111111	4.103276		1	0	1
8373	13	3	1	0	0	1.125092	28	0	1	0	0	19	0	0	1	6	0	1	1	0	1	1	1	15	1	1	0	0	0	0	0	0	1	1	1	0	0	0	1	0	2	0	0	4080	3769	1110	324	.0517157	.0794118	.0859644	.2326351	4.498346	-.0435296	1	0	1
